datetime,I_sg,CH14,CH15,T_0,T_270,T_90,T_180,I_aps,mf,CH7,CH8,pw,elapsed_time,Isg,eta,T_0_smooth,T_0_dTdt,T_90_smooth,T_90_dTdt,T_180_smooth,T_180_dTdt,T_270_smooth,T_270_dTdt
2025/10/25 10:08,10.02,24.1,0.4043,26.4,26.7,27,26.5,-0.9764,23.0423287,4.88,0.171,1.891237792,31,3.29506992,3.04090664,26.25223886,0.020935899,26.88670105,0.025720105,26.34232174,0.020649026,26.56697363,0.021734301
2025/10/25 10:08,10,24.1,0.4031,26.4,26.7,27,26.5,-0.9744,22.94912091,4.88,0.172,1.890946559,32,3.287234743,3.042070549,26.27316033,0.020907054,26.91239809,0.025674002,26.36294959,0.020606697,26.58869119,0.021700846
2025/10/25 10:08,10.01,24.1,0.4024,26.4,26.7,26.9,26.4,-0.9744,22.89481794,4.88,0.171,1.891237792,33,3.283040853,3.049002571,26.29405298,0.020878259,26.93804909,0.025628002,26.38353517,0.020564483,26.61037534,0.021667461
2025/10/25 10:08,10.01,24.1,0.4058,26.3,26.7,27,26.4,-0.9754,23.1590462,4.88,0.174,1.890363777,34,3.30255821,3.030983668,26.31491686,0.020849515,26.96365413,0.025582105,26.4040786,0.020522384,26.63202614,0.021634145
2025/10/25 10:08,9.99,24,0.4024,26.4,26.7,27,26.4,-0.9731,22.91428905,4.88,0.172,1.890946559,35,3.284339397,3.041707568,26.33575203,0.020820822,26.98921333,0.025536312,26.42457998,0.020480399,26.65364366,0.021600899
2025/10/25 10:08,10.01,24.1,0.4043,26.4,26.7,27,26.4,-0.9728,23.0423287,4.88,0.171,1.891237792,36,3.29506992,3.037871803,26.35655853,0.02079218,27.01472679,0.025490622,26.44503943,0.020438528,26.67522796,0.021567721
2025/10/25 10:08,10.01,24.1,0.4058,26.4,26.7,27,26.4,-0.9714,23.1590462,4.88,0.172,1.890946559,37,3.303403217,3.030208347,26.37733641,0.020763589,27.04019461,0.025445035,26.46545707,0.020396772,26.69677912,0.021534613
2025/10/25 10:08,10.01,24,0.4043,26.4,26.7,27.1,26.4,-0.9728,23.06193958,4.88,0.174,1.890363777,38,3.295283411,3.037674989,26.39808572,0.020735048,27.06561689,0.025399552,26.48583302,0.02035513,26.71829721,0.021501574
2025/10/25 10:08,10.01,24.1,0.4024,26.4,26.7,27.1,26.5,-0.9721,22.89481794,4.88,0.172,1.890946559,39,3.282646614,3.049368749,26.41880652,0.020706559,27.09099375,0.025354171,26.50616737,0.020313603,26.73978229,0.021468604
2025/10/25 10:08,10,24.1,0.4028,26.4,26.7,27.1,26.5,-0.9718,22.92584205,4.88,0.17,1.891528919,40,3.286101331,3.043119792,26.43949886,0.02067812,27.11632527,0.025308895,26.52646026,0.02027219,26.76123444,0.021435704
2025/10/25 10:08,10,24.1,0.4058,26.5,26.8,27.1,26.5,-0.9728,23.1590462,4.88,0.171,1.891237792,41,3.303825491,3.026794251,26.46016278,0.020649732,27.14161157,0.025263721,26.54671179,0.020230892,26.78265372,0.021402872
2025/10/25 10:08,10.01,24.1,0.4024,26.5,26.8,27.2,26.6,-0.9718,22.89481794,4.88,0.173,1.890655221,42,3.282252233,3.049735148,26.48079834,0.020621394,27.16685275,0.025218651,26.56692208,0.020189708,26.80404021,0.02137011
2025/10/25 10:08,10.01,24.1,0.4005,26.5,26.8,27.1,26.5,-0.9718,22.74767758,4.88,0.171,1.891237792,43,3.268661828,3.062415302,26.50140558,0.020593108,27.19204891,0.025173684,26.58709124,0.020148638,26.82539397,0.021337417
2025/10/25 10:08,10,24.1,0.4024,26.5,26.9,27.2,26.6,-0.9718,22.89481794,4.88,0.171,1.891237792,44,3.283040853,3.045956614,26.52198457,0.020564872,27.21720015,0.02512882,26.6072194,0.020107683,26.84671507,0.021304793
2025/10/25 10:09,10.01,24.1,0.4024,26.5,26.9,27.2,26.7,-0.9728,22.89481794,4.88,0.171,1.891237792,45,3.283040853,3.049002571,26.54253534,0.020536687,27.24230658,0.02508406,26.62730665,0.020066842,26.86800358,0.021272238
2025/10/25 10:09,10.01,24.1,0.4031,26.5,26.9,27.2,26.7,-0.9694,22.94912091,4.88,0.171,1.891237792,46,3.287641519,3.044735852,26.56305796,0.020508553,27.2673683,0.025039403,26.64735312,0.020026116,26.88925957,0.021239753
2025/10/25 10:09,10,24.1,0.4024,26.5,26.9,27.3,26.7,-0.9704,22.89481794,4.88,0.171,1.891237792,47,3.283040853,3.045956614,26.58355247,0.02048047,27.29238542,0.024994849,26.66735892,0.019985504,26.9104831,0.021207337
2025/10/25 10:09,10,24.1,0.4024,26.6,26.9,27.3,26.7,-0.9707,22.89481794,4.88,0.17,1.891528919,48,3.283434948,3.045591022,26.60401892,0.020452437,27.31735804,0.024950398,26.68732417,0.019945007,26.93167426,0.02117499
2025/10/25 10:09,10,24.1,0.4028,26.6,27,27.3,26.7,-0.9714,22.92584205,4.88,0.171,1.891237792,49,3.2857006,3.043490938,26.62445736,0.020424456,27.34228625,0.024906051,26.70724897,0.019904624,26.95283311,0.021142712
2025/10/25 10:09,10,24.1,0.4024,26.7,27,27.4,26.7,-0.9718,22.89481794,4.88,0.171,1.891237792,50,3.283040853,3.045956614,26.64486784,0.020396525,27.36717017,0.024861807,26.72713345,0.019864356,26.97395971,0.021110503
2025/10/25 10:09,9.99,24.1,0.4058,26.7,27,27.4,26.8,-0.9704,23.1590462,4.88,0.171,1.891237792,51,3.303825491,3.023767456,26.66525043,0.020368645,27.3920099,0.024817666,26.74697772,0.019824202,26.99505414,0.021078364
2025/10/25 10:09,9.99,24.1,0.4024,26.7,27,27.4,26.7,-0.9707,22.89481794,4.88,0.174,1.890363777,52,3.281857708,3.044007659,26.68560515,0.020340816,27.41680554,0.024773629,26.76678189,0.019784162,27.01611646,0.021046293
2025/10/25 10:09,10,24.1,0.4043,26.7,27,27.4,26.7,-0.9687,23.0423287,4.88,0.171,1.891237792,53,3.29506992,3.034836966,26.70593207,0.020313037,27.44155719,0.024729695,26.78654608,0.019744237,27.03714675,0.021014292
2025/10/25 10:09,9.99,24.1,0.4043,26.7,27,27.5,26.8,-0.9714,23.0423287,4.88,0.172,1.890946559,54,3.294649514,3.032188996,26.72623124,0.02028531,27.46626496,0.024685864,26.80627041,0.019704427,27.05814507,0.02098236
2025/10/25 10:09,10,24.1,0.4005,26.7,27,27.4,26.7,-0.9697,22.74767758,4.88,0.171,1.891237792,55,3.268661828,3.059355946,26.74650271,0.020257633,27.49092896,0.024642137,26.82595498,0.019664731,27.07911149,0.020950498
2025/10/25 10:09,10,24.1,0.4043,26.7,27,27.4,26.7,-0.9687,23.0423287,4.88,0.169,1.891819941,56,3.295910275,3.034063177,26.76674653,0.020230007,27.51554927,0.024598513,26.84559991,0.019625149,27.10004608,0.020918704
2025/10/25 10:09,10,24.1,0.402,26.7,27,27.5,26.7,-0.9697,22.86381024,4.88,0.171,1.891237792,57,3.2800184,3.048763385,26.78696274,0.020202432,27.54012602,0.024554992,26.86520531,0.019585682,27.12094892,0.02088698
2025/10/25 10:09,10,24.1,0.405,26.7,27.1,27.5,26.8,-0.9697,23.09676814,4.88,0.171,1.891237792,58,3.299167809,3.031067402,26.80715141,0.020174908,27.56465929,0.024511574,26.88477131,0.019546329,27.14182007,0.020855325
2025/10/25 10:09,9.99,24.1,0.4024,26.7,27.1,27.5,26.8,-0.9687,22.89481794,4.88,0.174,1.890363777,59,3.281857708,3.044007659,26.82731257,0.020147434,27.5891492,0.02446826,26.90429801,0.01950709,27.16265959,0.020823739
2025/10/25 10:09,9.99,24.1,0.4024,26.8,27.1,27.5,26.8,-0.9694,22.89481794,4.88,0.171,1.891237792,60,3.283040853,3.042910657,26.84744629,0.020120011,27.61359584,0.024425049,26.92378553,0.019467966,27.18346757,0.020792222
2025/10/25 10:09,9.99,24.1,0.4076,26.9,27.1,27.5,26.8,-0.9681,23.29941194,4.88,0.17,1.891528919,61,3.314674074,3.01387098,26.86755261,0.020092639,27.63799933,0.024381941,26.94323398,0.019428957,27.20424406,0.020760775
2025/10/25 10:09,9.98,24.1,0.4043,26.9,27.2,27.5,26.9,-0.9671,23.0423287,4.88,0.176,1.889780573,62,3.292965582,3.030702797,26.88763159,0.020065318,27.66235976,0.024338937,26.96264348,0.019390062,27.22498914,0.020729396
